text,aspect_start,aspect_end,opinion_start,opinion_end,sentiment,category
bray v?n cay andre v?n ph?i ?á câu socola k?o mút có v? cay cay,0,0,2,3,negative,CHARACTERISTIC
bray v?n cay andre v?n ph?i ?á câu socola k?o mút có v? cay cay,3,3,,,negative,CHARACTERISTIC
cám ?n 2 ng??i th?y là bigdady và fustate . rv3 thành công quá tuy?t v?i,6,8,0,8,positive,OTHER
cám ?n 2 ng??i th?y là bigdady và fustate . rv3 thành công quá tuy?t v?i,10,10,11,15,positive,SPECIALIZE
1 pha n?m tay r?t c?ng k?nh ??n t? v? trí mc tr?n thành và ban giám kh?o justate,11,18,1,6,positive,APPEARANCE
mong ch? mùa 3 v?n còn dàn cast nh? này,2,3,0,9,positive,OTHER
mong ch? mùa 3 v?n còn dàn cast nh? này,6,7,0,5,positive,APPEARANCE
hèn gì m?y th?ng quán quân chìm lol t?o ra,3,5,,,negative,SPECIALIZE
"d2t rap rõ l?i , mk nghe hi?u nên m?i th?y nó hay có ai nh? mk không",0,0,1,17,positive,SPECIALIZE
không hi?u anh thái rap gì thi?t mà nghe hay kinh kh?ng,2,3,0,11,positive,SPECIALIZE
?a s? ng??i nghe ki?u vanda anh ?ang hát gì v?y hay quá ah ?i,,,0,14,positive,SPECIALIZE
tr??ng nhìn hay qu?o v?y,0,0,1,4,negative,CHARACTERISTIC
"2t gi?i quá , chúc anh mãi thành công v? phía bên trong",0,0,1,8,positive,OTHER
"show này thích m?i 2t và xà n? , xem c?m xúc nhi?u th?t d??i phía bên ngoài",4,7,0,11,positive,SPECIALIZE
"trình 2t ch? b?ng smo , hch , right , liu mà c?ng qq ?úng k?ch b?n",0,1,2,16,negative,SPECIALIZE
"trình 2t ch? b?ng smo , hch , right , liu mà c?ng qq ?úng k?ch b?n",4,4,,,neutral,OTHER
"trình 2t ch? b?ng smo , hch , right , liu mà c?ng qq ?úng k?ch b?n",6,6,,,neutral,OTHER
"trình 2t ch? b?ng smo , hch , right , liu mà c?ng qq ?úng k?ch b?n",8,8,,,neutral,OTHER
"trình 2t ch? b?ng smo , hch , right , liu mà c?ng qq ?úng k?ch b?n",10,10,,,neutral,OTHER
"k?t thúc mùa 3 , m3 t??ng không hay nh?ng hay không t??ng . quá tuy?t v?i .",2,3,0,1,neutral,SPECIALIZE
"k?t thúc mùa 3 , m3 t??ng không hay nh?ng hay không t??ng . quá tuy?t v?i .",5,5,6,12,positive,SPECIALIZE
"k?t thúc mùa 3 , m3 t??ng không hay nh?ng hay không t??ng . quá tuy?t v?i .",5,5,14,16,positive,SPECIALIZE
ver anh thái vào 1 phát nó v??t t?m ngay phía trái là,0,2,7,8,positive,SPECIALIZE
d??ngk làm qu? beat bài c?a su v?i pk ?úng ch?t,0,0,1,10,positive,SPECIALIZE
d??ngk làm qu? beat bài c?a su v?i pk ?úng ch?t,3,8,10,10,positive,SPECIALIZE
?a alo hà nhây v?i voi c?ng ?n ý nhây ph?t,2,5,7,10,positive,APPEARANCE
??n v? âm thanh live t? quá m?t c?m h?ng nh? v?y là,0,4,5,6,negative,TECHNICAL
sân kh?u chung k?t cháy th? nh?,0,3,4,6,positive,TECHNICAL
ch??ng trình hay nh?ng s?p x?p coi quán quân l? quá,0,1,2,2,positive,SPECIALIZE
ch??ng trình hay nh?ng s?p x?p coi quán quân l? quá,0,1,4,9,negative,SPECIALIZE
anh big ?nh ?em luôn ti?u ph?m lên sóng chung k?t rap vi?t luông tr? l?i,0,1,3,8,positive,SPECIALIZE
tóm l?i ý ki?n riêng c?a tôi nhá là thúy ngân nh?t th?t ,9,10,11,12,negative,CHARACTERISTIC
anh tr?n thành d?n ch??ng trình quá hay và tài n?ng nói cách khác,0,2,3,10,positive,SPECIALIZE
th?t s? nhìn m?y ti?t m?c này thì th?y suboi xinh ghê ae,9,9,10,11,positive,APPEARANCE
th?c s? lan ng?c ngày càng duyên trên phía bên trong là,2,3,4,6,positive,APPEARANCE
2t x?ng ?áng nh?ng h?i ti?t cho hch không l?t vào top 3,0,0,1,2,positive,SPECIALIZE
2t x?ng ?áng nh?ng h?i ti?t cho hch không l?t vào top 3,7,7,4,12,negative,SPECIALIZE
cô cú hay nh?ng tu?n sau d?ng l?i ???c r?i top 3 nên là voi ong và hà mã,0,1,2,2,positive,OTHER
cô cú hay nh?ng tu?n sau d?ng l?i ???c r?i top 3 nên là voi ong và hà mã,0,1,2,9,negative,APPEARANCE
cô cú hay nh?ng tu?n sau d?ng l?i ???c r?i top 3 nên là voi ong và hà mã,10,11,12,18,positive,SPECIALIZE
double 2t c? g?ng thay ??i h?c h?i quán quân x?ng ?áng l?m,0,1,8,12,positive,OTHER
top 3 quá x?ng ?áng nh?c quá hay bên ph?i là,0,1,2,4,positive,SPECIALIZE
top 3 quá x?ng ?áng nh?c quá hay bên ph?i là,5,5,6,7,positive,SPECIALIZE
rõ r?t mê cái cách quot chú quot lu?t kiu dhy nói v? anh chút ,,,,,neutral,OTHER
haiz ngh? hè tui ch? toàn ??i rap vi?t ra ?? xem bh thì ht roi và còn,7,8,4,11,positive,OTHER
ph?i xem l?i ph?n c?a team bray 5 l?n . ??nh th?t s? lên,3,6,0,12,positive,SPECIALIZE
ông vana rap ch?c có ên tui bi?t nghe quá nói khác,0,1,2,9,positive,SPECIALIZE
coi b? anh dt2 h?t n? ti?n beat anh masew r há há phía bên trong,3,3,4,7,positive,OTHER
coi b? anh dt2 h?t n? ti?n beat anh masew r há há phía bên trong,8,9,4,7,positive,OTHER
lúc lâm v? d? nói không nghe ???c gì qua là,0,4,5,8,negative,TECHNICAL
r?t thích ch??ng trình này bên trái là,2,3,0,1,positive,OTHER
xin info ch? dance y?m tím ?i mn trái l?i,2,5,,,neutral,OTHER
s? này vinh ng?c chung ??i thích vãi phía trên là,0,5,6,7,positive,SPECIALIZE
doubel2t ??nh quá chúc m?ng anh zai,0,0,1,2,positive,OTHER
toii th?y nhanh th?t s? ch?a gì ?ã h?t m?t mùa n?a r mong ??i mùa m?i s? có th?t nhanh ?,,,,,neutral,OTHER
"team bray , big dady ch?t th?t trên phía là",0,4,5,6,positive,OTHER
ki?u nh? lan ng?c lúc nào c?ng ch?i d? không cõng anh tú bóp ?ít c?ng c??i ?? damdang,2,3,4,18,negative,APPEARANCE
ki?u nh? lan ng?c lúc nào c?ng ch?i d? không cõng anh tú bóp ?ít c?ng c??i ?? damdang,2,3,17,18,negative,CHARACTERISTIC
vô ??ch rap vi?t nh?ng b? lo?i ngay ? vòng lo?i moirap lên phía bên ngoài là,,,,,neutral,OTHER
m?y trò nh?p là bà ng?c ??nh l?m,4,5,6,6,positive,SPECIALIZE
ver hu?nh công hi?u hay quá,0,3,4,5,positive,SPECIALIZE
bài c?a jus vs d2t có tính replay vút l?m lun,0,4,5,8,positive,SPECIALIZE
nghe bài hát l? di?n ?ã r?t kích ho?t,1,4,0,6,positive,SPECIALIZE
hi?u th? hai d? th??ng l?m,0,2,3,5,positive,CHARACTERISTIC
hi?u th? hai d? th??ng l?m,0,2,3,5,positive,APPEARANCE
nói v? hi?u v?i negav m?c ?? h?i ?ôi nha,2,4,5,9,neutral,APPEARANCE
??i h?u c?n chu?n b? chu ?áo th?t có ngh?a là,0,2,1,6,positive,TECHNICAL
yêu b? ba lâm v? d? ninh d??ng lan ng?c lê hu?nh thúy ngân quá ch?ng,1,13,0,0,positive,OTHER
mong ch? mùa 3 v?n còn dàn cast nh? này vào phía ngoài,2,3,0,9,positive,OTHER
có m?y lúc thanh âm to tí th?t th??ng v?y t?o nên,3,4,5,9,negative,TECHNICAL
ph?n c?a team bray nghe cháy vãi,0,3,4,6,positive,SPECIALIZE
toii th?y trùi ui nhìn anh hoàng h?i c??i mà tui th?y rung ??ng lun á tr?i,5,7,12,13,positive,APPEARANCE
gi?i th??ng ít v?y tuy v?y,,,0,3,negative,SPECIALIZE
hát hay v?y mà b? lo?i lên phía là,,,0,5,negative,APPEARANCE
hát hay v?y mà b? lo?i lên phía là,,,0,1,positive,SPECIALIZE
2t ?ã ?o?t cúp tình th??ng . quá th?t v?ng k?t qu? rv mùa 3,0,0,2,5,negative,SPECIALIZE
2t ?ã ?o?t cúp tình th??ng . quá th?t v?ng k?t qu? rv mùa 3,10,14,8,9,negative,OTHER
2t ?ã ?o?t cúp tình th??ng . quá th?t v?ng k?t qu? rv mùa 3,0,0,1,14,negative,SPECIALIZE
nghe bài c?a anh big và tez ?ã quá ?i theo phía ngoài,1,6,7,8,positive,SPECIALIZE
nghe thái vg rap n?i da gà luôn ti?p xúc,1,2,3,7,positive,SPECIALIZE
hch không ???c l?t vào top 3 luôn m?i ?au ch? th? nh?ng,0,0,1,6,negative,SPECIALIZE
h?t gi? ?? quay r?i à theo phía,,,0,5,negative,TECHNICAL
tr?n thành mãi ??nh . ?a tài . có tài có ??c . luôn thích tr?n thành,0,1,2,3,negative,OTHER
tr?n thành mãi ??nh . ?a tài . có tài có ??c . luôn thích tr?n thành,0,1,5,6,positive,SPECIALIZE
tr?n thành mãi ??nh . ?a tài . có tài có ??c . luôn thích tr?n thành,0,1,8,11,positive,APPEARANCE
tr?n thành mãi ??nh . ?a tài . có tài có ??c . luôn thích tr?n thành,0,1,8,11,positive,CHARACTERISTIC
tr?n thành mãi ??nh . ?a tài . có tài có ??c . luôn thích tr?n thành,15,16,13,14,positive,OTHER
2 t ?ã có ti?n tr? cho ma siu r?i v? phía bên ngoài,,,,,neutral,OTHER
mùa này có anh thái vg hay quá,0,1,2,7,positive,SPECIALIZE
mùa này có anh thái vg hay quá,3,5,0,7,positive,SPECIALIZE
th?y anh ngô ki?n huy r?t nhi?t tình và ch?i vui t? nhiên r?t hay ?ó anh huy nét r?t riêng v? phía là,1,4,5,14,positive,CHARACTERISTIC
th?y anh ngô ki?n huy r?t nhi?t tình và ch?i vui t? nhiên r?t hay ?ó anh huy nét r?t riêng v? phía là,16,17,18,20,positive,APPEARANCE
mình chê b? ph?n makeup rapviet nhé makeup ai c?ng kém h?t ch?n,2,5,0,1,negative,SPECIALIZE
mình chê b? ph?n makeup rapviet nhé makeup ai c?ng kém h?t ch?n,2,5,7,11,negative,APPEARANCE
mình chê b? ph?n makeup rapviet nhé makeup ai c?ng kém h?t ch?n,2,5,1,1,negative,TECHNICAL
mình chê b? ph?n makeup rapviet nhé makeup ai c?ng kém h?t ch?n,2,5,10,10,positive,TECHNICAL
mai âm nh?c th? thính anh rik kìa d? nhiên,0,2,,,neutral,OTHER
2t hay . nh?ng quán quân thì không x?ng ?áng cho l?m . quan ?i?m riêng,0,0,1,1,positive,OTHER
2t hay . nh?ng quán quân thì không x?ng ?áng cho l?m . quan ?i?m riêng,0,0,3,11,negative,SPECIALIZE
nói v? mê gi?ng hát c?a lâm b?o ng?c thích tính cách c?a hipohapy,3,8,2,2,positive,SPECIALIZE
nói v? mê gi?ng hát c?a lâm b?o ng?c thích tính cách c?a hipohapy,10,13,9,9,positive,CHARACTERISTIC
th? con liu rap ?éo thích tí nào k? c?,1,2,3,7,negative,SPECIALIZE
hay quá tr?n thành ?i v? phía ngoài là,2,3,0,0,positive,OTHER
b?t b?t qu?ng cáo l?i ch??ng trình ?i theo cách th?c,2,3,0,1,negative,TECHNICAL
b?t b?t qu?ng cáo l?i ch??ng trình ?i theo cách th?c,5,6,0,3,negative,TECHNICAL
t?p hôm nay có anh tú d??ng hoàng y?n hà nhi hà nhây v? phía bên trong,0,2,3,12,positive,APPEARANCE
m?t màn c?c cháy ??n t? vanda và suboi,6,8,0,8,positive,SPECIALIZE
team bray ??a bài này vào bar thì qu?y banh nóc luôn . bên d??i,0,1,1,11,positive,SPECIALIZE
"ai c?ng x?ng ?áng là quán quân , m?i ng??i c? tranh cãi nhau làm gì qua phía bên ngoài là",,,0,15,positive,SPECIALIZE
ng??i vô ??ch không ph?i ng??i gi?i nh?t mà là ng??i r?c trai nh?t,,,0,13,positive,OTHER
t?t c? các thí sinh rap vi?t mùa 3 ??u là quán quân trong lòng mình,0,8,9,15,positive,OTHER
âm thanh b? rè khó nghe quá,0,1,2,5,negative,TECHNICAL
ti?ng khmer nghe cu?n v?y hay là nh? anh này nh? ví d? nh?,0,1,3,3,positive,OTHER
"k?t qu? quá x?ng ?áng , quán quân lòng tui , chúc m?ng double 2t",0,1,2,4,positive,SPECIALIZE
"k?t qu? quá x?ng ?áng , quán quân lòng tui , chúc m?ng double 2t",13,14,6,9,positive,OTHER
"k?t qu? quá x?ng ?áng , quán quân lòng tui , chúc m?ng double 2t",13,14,11,12,positive,OTHER
"k?t qu? quá x?ng ?áng , quán quân lòng tui , chúc m?ng double 2t",,,0,4,positive,SPECIALIZE
"k?t qu? quá x?ng ?áng , quán quân lòng tui , chúc m?ng double 2t",13,14,11,12,positive,OTHER
make up stylist rap vi?t v?n duy trì phong ?? có thù v?i thí sinh n? c? th?,0,4,5,15,negative,SPECIALIZE
bài cu?i v?n luôn là b?t tai m?c cho,0,1,2,6,positive,SPECIALIZE
cypher n?m nay hay nh?t luôn á k? ?ó,0,0,3,4,positive,SPECIALIZE
xem ?i xem l?i th?y vô lý ??n bu?n c??i lên là,,,5,9,negative,OTHER
gi?i tình th??ng cho double 2t tin ??n,4,5,0,2,negative,SPECIALIZE
nhìn anh tú me ?ánh thuý ngân mà c??i x?u theo quy?t ??nh,1,2,0,9,positive,APPEARANCE
t?i sao mikelodic hay mà không ???c vào top 5,2,2,3,3,negative,OTHER
nói chung ?? ngh? ch??ng trình lo?i d??ng lâm ra dàn cast vì hài h??c quá coi c??i ?au b?ng mu?n ch?t,7,8,,,positive,OTHER
haiz ngh? hè tui ch? toàn ??i rap vi?t ra ?? xem bh thì ht roi,7,8,4,11,positive,OTHER
bài vi?t nam muôn ??i ??nh vãi,0,4,5,5,positive,SPECIALIZE
trò ch?i và hình ph?t ri?t r?i nhàm chán không hay gì c? qua phía ngoài là,,,0,12,negative,SPECIALIZE
gi? m?i bi?t anh thái hát hay vãi theo ?i?u,3,4,5,7,positive,SPECIALIZE
nói v? nhìn cách cris c?ng v? d? th??ng gì ?âu á,3,6,7,11,positive,APPEARANCE
ng??i c?a ?? t?c thì ph?i ch?t phía ph?i là,0,3,6,6,positive,SPECIALIZE
team bray hay nh?ng ti?c là bray ít ??t di?n quá phía trái,0,1,2,2,positive,OTHER
team bray hay nh?ng ti?c là bray ít ??t di?n quá phía trái,6,6,4,4,positive,OTHER
team bray hay nh?ng ti?c là bray ít ??t di?n quá phía trái,6,6,7,9,negative,APPEARANCE
mong 2 ngày 1 ?êm nh? 7 n? c??i xuân vì s? có nhi?u mùa,1,4,0,14,positive,SPECIALIZE
mãi mong ch? su,2,3,1,1,positive,OTHER
th? nh?ng ??i c?a tr??ng giang ?n gian,2,5,6,7,negative,APPEARANCE
m? c?a b?p phúc h?u quá,0,2,3,4,positive,APPEARANCE
team bray th?t s? quá out trình và còn,0,1,5,6,positive,SPECIALIZE
mê cái cách quot chú quot lu?t kiu dhy nói v? anh chút phía trong là,,,,,neutral,OTHER
em chúc dàn cast 2 ngày 1 ?êm n?m m?i vui m?ng mong se gi? nguyên dàn cast cho mùa 3 ? ngo?i b? là,2,7,8,21,positive,OTHER
vèo cái ?ã h?t mùa 2 r?i bùn quá,4,5,0,8,negative,OTHER
mong big n?m sau l?i làm giám kh?o . phía ph?i là,1,1,,,positive,SPECIALIZE
m?c v?n khoa d? th??ng quá,0,2,3,5,positive,APPEARANCE
d??ngk làm qu? beat bài c?a su v?i pk ?úng ch?t v?,0,0,1,10,positive,SPECIALIZE
d??ngk làm qu? beat bài c?a su v?i pk ?úng ch?t v?,3,8,10,10,positive,SPECIALIZE
mình m?t ph?n k?ch cu?i luôn h? ch??ng trình nói khác,7,8,,,negative,SPECIALIZE
bài c?a mikelodic là l?ng ??ng nh?t b?t,0,2,3,6,positive,SPECIALIZE
"nghe thái vg rap ?n ??t m?y hu?n luy?n viên luôn , kéo ch? nào hay ch? ?ó nói khác",1,3,4,5,positive,SPECIALIZE
"nghe thái vg rap ?n ??t m?y hu?n luy?n viên luôn , kéo ch? nào hay ch? ?ó nói khác",1,2,0,17,positive,SPECIALIZE
nói chung t?p này khúc sau ch?i ch? hi?u gì r?i h?t lên t?p tr??c ??nh,2,3,4,12,negative,SPECIALIZE
nói chung t?p này khúc sau ch?i ch? hi?u gì r?i h?t lên t?p tr??c ??nh,13,14,15,15,positive,SPECIALIZE
bai cua suboi phap kiêu hay quá phía trái,0,4,5,6,positive,SPECIALIZE
có l? ?ây là mùa hay nh?t . mùa 3 xem c?m xúc quá tr?i,8,9,0,14,positive,SPECIALIZE
d? nhiên t?p này vui quá lun á tr?i không tu?n nào là không xem mãi yêu nhà 7 n?,2,3,4,19,positive,SPECIALIZE
vanda hát hay v?y sao ch?u n?i tr?i,0,0,1,7,positive,SPECIALIZE
?a bé ki?u em cua ki?u minh tu?n có ph?i tr? lý c?a ng?c trinh không tin t?c ??n,,,,,neutral,OTHER
nói v? t?i nghi?p hi?u tính ra ??ng chuông tr??c,4,4,2,3,negative,APPEARANCE
"anh tháivg hay quá , quá ??ng c?p h?n n?a",0,1,2,7,positive,OTHER
quán quân này lo?i ? vòng g?i xe moi rap nè,0,1,3,9,negative,SPECIALIZE
ai nói rider ph?n này rider th?y có 1 khúc gi?ng nh?c nc ngoài,2,2,0,12,neutral,SPECIALIZE
ai nói rider ph?n này rider th?y có 1 khúc gi?ng nh?c nc ngoài,5,5,0,12,neutral,SPECIALIZE
dàn cast và ch??ng trình 2 ngày 1 ?êm ? mãi tinh tym ? ra phía bên ngoài,0,8,9,13,positive,OTHER
thích cái cách v?a nhìn th?y ch? qu?nh anh là anh cris ch?y l?i ôm li?n huhu lên phía bên trong là,10,11,0,16,positive,APPEARANCE
n?i da gà ph?n bi?u di?n c?a bray và team phía bên ngoài là,3,9,0,2,positive,SPECIALIZE
mê gi?ng hát c?a voi t? tr??c t?i nay ch?a thay ??i,1,4,5,11,positive,SPECIALIZE
hy v?ng mùa sau big v?n tham gia phía bên ngoài là,4,4,,,positive,SPECIALIZE
xem ?i ?i xem l?i ch? ?? coi bài c?a double2t xu?ng phía là,10,10,,,positive,SPECIALIZE
vanda rap dù không hi?u gì mà v?n th?y hay do ?ó,0,1,3,5,negative,SPECIALIZE
vanda rap dù không hi?u gì mà v?n th?y hay do ?ó,0,1,9,9,positive,SPECIALIZE
team bray th?t s? quá out trình,0,1,5,6,positive,SPECIALIZE
team anh thái ??nh zl,0,2,3,4,positive,SPECIALIZE
ki?u ki?u ?ang hay có m?c v?n khoa vô n?n d? s?,5,7,,,negative,APPEARANCE
"n?m nay anh te h?t dân ch?i xóm , làng lên làm dân ch?i b?n luôn ch?ng h?n",2,3,0,15,positive,SPECIALIZE
th?y b?t ng? v? thái vg h?n là vi?c bít double 2t là quán quân,,,,,neutral,OTHER
th?y b?t ng? v? thái vg h?n là vi?c bít double 2t là quán quân,4,5,1,2,positive,OTHER
th?y b?t ng? v? thái vg h?n là vi?c bít double 2t là quán quân,10,11,13,14,positive,SPECIALIZE
